username,timestamp,original_content,cleaned_content,likes,retweets,replies,total_engagement,engagement_score,mentions,hashtags,url,mentions_buy_terms,mentions_sell_terms,mentions_bullish_terms,mentions_bearish_terms,sentiment_indicator
nilesh_tra50734,2025-11-21T08:03:13.000Z,"#nifty data negative  

#banknifty #Nifty50 #OptionsTrading #StockMarket #BullMarket #Bulls #bull #trader #tradingstrategy",#nifty data negative #banknifty #Nifty50 #OptionsTrading #StockMarket #BullMarket #Bulls #bull #trader #tradingstrategy,1.0,0.0,0.0,1,1.0,[],"['nifty', 'banknifty', 'Nifty50', 'OptionsTrading', 'StockMarket', 'BullMarket', 'Bulls', 'bull', 'trader', 'tradingstrategy']",https://x.com/nilesh_tra50734/status/1991779418868707475,0,0,1,0,0
hedgetraderr,2025-11-21T07:58:02.000Z,"Nifty 
@26100
+ 

Did you know ? 

From the day Nifty hit 26k in 2024 till date ,  2 out of 3 stocks are giving  negative returns!!

#Nifty #Nifty50","Nifty @26100 + Did you know ? From the day Nifty hit 26k in 2024 till date , 2 out of 3 stocks are giving negative returns!! #Nifty #Nifty50",0.0,0.0,0.0,0,0.0,['26100'],"['Nifty', 'Nifty50']",https://x.com/hedgetraderr/status/1991778115593654273,0,0,0,0,0
Raj_Ranga2002,2025-11-21T07:57:50.000Z,"Done  & Dusted with These .

Time For a Fresh Pinned Tweet ! 

#Nifty #Banknifty 
Those who still in that WAR ERA are Shouting No 26k & No ATH before 18k 

#Nifty50 Did 26,245 Yesterday & #BankNifty 59450 High .

Pinned Tweet Targets  Done ","Done & Dusted with These . Time For a Fresh Pinned Tweet ! #Nifty #Banknifty Those who still in that WAR ERA are Shouting No 26k & No ATH before 18k #Nifty50 Did 26,245 Yesterday & #BankNifty 59450 High . Pinned Tweet Targets Done",1.0,0.0,0.0,3,1.0,[],"['Nifty', 'Banknifty', 'Nifty50', 'BankNifty']",https://x.com/Raj_Ranga2002/status/1991778065274606040,0,0,0,0,0
alwinraje,2025-11-21T07:57:09.000Z,"My both stock  trade went wrong book expected loss

what about you
#Nifty50",My both stock trade went wrong book expected loss what about you #Nifty50,0.0,0.0,0.0,0,0.0,[],['Nifty50'],https://x.com/alwinraje/status/1991777892142113066,0,0,0,0,0
AkFINANCIA73441,2025-11-21T07:56:32.000Z,"TATACONSUM 1200 CE
CMP 20.60
SL 15 
TARGET 1:2/3

#Finance #investment #Nifty50 #stockmarketsindia #index #NSE #option #sensex #like #StockMarkets #banknifty",TATACONSUM 1200 CE CMP 20.60 SL 15 TARGET 1:2/3 #Finance #investment #Nifty50 #stockmarketsindia #index #NSE #option #sensex #like #StockMarkets #banknifty,0.0,0.0,0.0,0,0.0,[],"['Finance', 'investment', 'Nifty50', 'stockmarketsindia', 'index', 'NSE', 'option', 'sensex', 'like', 'StockMarkets', 'banknifty']",https://x.com/AkFINANCIA73441/status/1991777735270879537,0,0,0,0,0
BusinessTimesIn,2025-11-21T07:54:31.000Z," Sensex Today | Excelsoft Tech IPO Subscribed 17.74x (Day 3, 12:51 PM)

Strong demand across categories on final bidding day 
 QIB: 2.26x  
 NII: 55.13x  
 Retail: 10.56x  
 Overall: 17.74x  
#Sensex #Nifty50 #IPO #BTMarkets","Sensex Today | Excelsoft Tech IPO Subscribed 17.74x (Day 3, 12:51 PM) Strong demand across categories on final bidding day QIB: 2.26x NII: 55.13x Retail: 10.56x Overall: 17.74x #Sensex #Nifty50 #IPO #BTMarkets",0.0,0.0,1.0,1,0.5,[],"['Sensex', 'Nifty50', 'IPO', 'BTMarkets']",https://x.com/BusinessTimesIn/status/1991777231019078144,0,0,0,0,0
BusinessTimesIn,2025-11-21T07:53:30.000Z," Sensex Today | Servotech Renewable Wins ₹16.31 Cr Solar Project

$SERVOTECH down 1.39% at ₹96.16 even as the company bags a ₹16.31 crore grid - connected solar project from REMCL 

 Intraday range: ₹95.60–₹98.80
 Volumes below 5-day average
#Sensex #Nifty50",Sensex Today | Servotech Renewable Wins 16.31 Cr Solar Project $SERVOTECH down 1.39% at 96.16 even as the company bags a 16.31 crore grid - connected solar project from REMCL Intraday range: 95.6098.80 Volumes below 5-day average #Sensex #Nifty50,0.0,0.0,1.0,1,0.5,[],"['Sensex', 'Nifty50']",https://x.com/BusinessTimesIn/status/1991776973908242844,0,0,0,0,0
BusinessTimesIn,2025-11-21T07:52:31.000Z," Sensex Today | JSW Energy Falls Most in 5 Months

$JSWENERGY down 3.36% to ₹488, its sharpest drop in five months 

 Intraday range: ₹487.90 - ₹508.10
 Volumes slightly above 5-day average
#Sensex #Nifty50 #Energy #BTMarkets","Sensex Today | JSW Energy Falls Most in 5 Months $JSWENERGY down 3.36% to 488, its sharpest drop in five months Intraday range: 487.90 - 508.10 Volumes slightly above 5-day average #Sensex #Nifty50 #Energy #BTMarkets",0.0,0.0,1.0,1,0.5,[],"['Sensex', 'Nifty50', 'Energy', 'BTMarkets']",https://x.com/BusinessTimesIn/status/1991776726867931629,0,0,0,1,0
keshavsoni95,2025-11-21T07:50:02.000Z,"#gmdc

Healthy correction done. About to end somewhere around Day's low today. This zone must hold for 5th up to come else deeper retracement can continue.

#Nifty #Nifty50 #StockMarket #NiftyBank #Sensex #Trading #Investing #IndianStockMarket #StockMarketIndia #Finance #Defence",#gmdc Healthy correction done. About to end somewhere around Day's low today. This zone must hold for 5th up to come else deeper retracement can continue. #Nifty #Nifty50 #StockMarket #NiftyBank #Sensex #Trading #Investing #IndianStockMarket #StockMarketIndia #Finance #Defence,1.0,0.0,0.0,1,1.0,[],"['gmdc', 'Nifty', 'Nifty50', 'StockMarket', 'NiftyBank', 'Sensex', 'Trading', 'Investing', 'IndianStockMarket', 'StockMarketIndia', 'Finance', 'Defence']",https://x.com/keshavsoni95/status/1991776100813533270,0,0,0,0,0
stockhawked,2025-11-21T07:50:00.000Z," Live Market Update at 13:20 IST

 Nifty: 26,122 ▼ -0.27%
 Sensex: 85,389.03 ▼ -0.28%

 Top Gainer: IndusInd Bank ▲ 2.55%
 Top Loser: GE T&D India  ▼ -6.23%

#Nifty50 #Sensex #MarketWatch","Live Market Update at 13:20 IST Nifty: 26,122  -0.27% Sensex: 85,389.03  -0.28% Top Gainer: IndusInd Bank  2.55% Top Loser: GE T&D India  -6.23% #Nifty50 #Sensex #MarketWatch",0.0,0.0,0.0,0,0.0,[],"['Nifty50', 'Sensex', 'MarketWatch']",https://x.com/stockhawked/status/1991776094370877774,0,0,0,0,0
